89,-0.383047,-111
87,-0.383047,-113
96,-0.383047,-104
91,0.0,-109
90,-0.766094,-110
96,-0.383047,-104
92,0.0,-108
102,-0.383047,-98
99,0.0,-101
106,0.0,-94
96,-1.14914,-104
93,-0.383047,-107
91,-0.383047,-109
99,-0.383047,-101
95,-0.383047,-105
98,0.0,-102
98,-0.383047,-102
104,0.766094,-96
101,0.766094,-99
102,-1.14914,-98
94,-0.766094,-106
84,-1.14914,-116
84,0.0,-116
75,-0.766094,-125
78,-0.383047,-122
86,0.383047,-114
94,-0.766094,-106
88,0.0,-112
78,0.0,-122
88,-0.383047,-112
98,-0.383047,-102
95,-0.766094,-105
97,0.0,-103
90,0.0,-110
93,0.0,-107
96,0.766094,-104
95,1.14914,-105
85,0.0,-115
86,-1.91523,-114
89,-1.91523,-111
86,0.0,-114
88,0.0,-112
90,-1.53219,-110
97,0.0,-103
102,-0.383047,-98
104,-0.383047,-96
113,0.0,-87
104,-0.383047,-96
98,0.0,-102
105,-0.383047,-95
100,0.0,-100
92,-1.14914,-108
97,-0.383047,-103
88,0.0,-112
93,-1.91523,-107
91,-1.53219,-109
82,0.766094,-118
91,0.0,-109
82,-1.14914,-118
85,-0.383047,-115
75,0.0,-125
85,0.0,-115
90,0.0,-110
87,0.0,-113
91,-0.766094,-109
92,0.0,-108
91,-0.383047,-109
95,-0.383047,-105
102,0.766094,-98
102,0.383047,-98
111,-0.383047,-89
119,-1.14914,-81
127,0.0,-73
127,-0.766094,-73
118,-0.383047,-82
108,0.0,-92
105,0.0,-95
113,0.0,-87
118,0.383047,-82
123,-0.383047,-77
116,-0.383047,-84
117,0.383047,-83
118,-0.766094,-82
127,1.14914,-73
118,0.383047,-82
109,-0.383047,-91
109,-0.766094,-91
107,-0.383047,-93
114,-0.383047,-86
117,-0.766094,-83
123,0.0,-77
116,-0.383047,-84
121,-1.91523,-79
121,1.14914,-79
119,-2.68133,-81
122,0.383047,-78
120,0.766094,-80
113,0.766094,-87
106,-1.14914,-94
113,-0.383047,-87
103,0.0,-97
107,-0.383047,-93
105,-0.383047,-95
101,0.0,-99
97,-1.14914,-103
88,0.0,-112
89,0.383047,-111
84,0.0,-116
78,-0.383047,-122
71,-0.383047,-129
70,-1.14914,-130
78,0.0,-122
73,0.0,-127
83,0.0,-117
81,0.0,-119
83,-0.766094,-117
82,0.0,-118
85,0.0,-115
94,0.0,-106
92,-0.383047,-108
102,-0.383047,-98
106,0.766094,-94
99,-2.29828,-101
